0.7387164078509466
index,x,y,z,length,width,height
1,0,0,0,46,72,98
2,0,0,98,73,99,120
3,0,99,1,73,99,120
4,0,99,121,48,111,70
5,73,0,1,30,76,108
6,48,99,121,31,66,95
7,103,0,1,48,70,111
8,73,0,112,46,72,98
9,103,70,1,30,76,108
10,151,0,1,73,99,120
11,133,99,1,46,72,98
12,119,0,112,28,33,81
13,147,0,121,55,81,92
14,73,76,1,30,76,108
15,119,33,112,28,33,81
16,119,66,112,28,33,81
17,147,81,121,55,81,92
18,79,99,109,48,111,70
19,179,99,1,30,76,108
20,103,146,1,30,76,108
21,73,152,1,30,76,108
22,224,0,1,30,76,108
23,202,0,121,30,108,76
24,224,76,1,30,76,108
25,202,108,109,48,111,70
26,209,152,1,30,76,108
27,254,0,1,48,70,111
28,232,0,112,46,72,98
29,239,152,1,55,81,92
30,254,70,1,28,33,81
31,302,0,1,73,99,120
32,278,0,121,30,108,76
33,308,0,121,55,81,92
34,254,70,82,33,81,28
35,308,81,121,30,108,76
36,338,81,121,25,110,43
37,79,99,179,66,95,31
38,294,99,1,31,66,95
39,338,81,164,25,110,43
40,0,99,191,43,110,25
41,287,99,96,43,110,25
42,232,72,110,28,33,81
43,375,0,1,73,99,120
44,325,99,1,99,120,73
45,363,0,121,31,66,95
46,394,0,121,30,108,76
47,363,66,121,28,33,81
48,232,72,191,43,110,25
49,330,99,74,43,110,25
50,363,99,99,31,66,95
51,254,103,1,28,33,81
52,394,108,74,48,111,70
53,275,108,121,30,108,76
54,394,108,144,48,111,70
55,448,0,1,46,72,98
56,424,99,1,48,111,70
57,448,0,99,46,72,98
58,448,72,71,30,76,108
59,442,72,179,28,81,33
60,442,148,71,30,76,108
61,145,162,99,31,66,95
62,202,108,179,28,81,33
63,494,0,1,73,99,120
64,494,0,121,48,111,70
65,472,99,1,76,108,30
66,472,99,31,66,95,31
67,472,148,62,46,72,98
68,472,148,160,92,81,55
69,478,111,62,66,31,95
70,518,142,62,55,81,92
71,494,0,191,43,110,25
72,542,0,121,30,108,76
73,538,99,31,33,81,28
74,544,108,59,43,25,110
75,48,165,121,31,66,95
76,363,165,99,25,43,110
