0.7100317651070369
index,x,y,z,length,width,height
1,0,0,0,35,56,100
2,35,0,0,42,50,66
3,0,0,100,58,63,103
4,0,56,0,41,57,75
5,0,63,75,42,50,66
6,0,63,141,36,113,46
7,0,113,0,36,46,113
8,0,113,113,30,101,26
9,58,0,66,39,78,102
10,41,50,0,40,91,50
11,58,0,168,26,101,30
12,42,78,50,26,30,101
13,36,141,0,56,61,106
14,68,78,50,26,30,101
15,36,113,106,27,81,97
16,97,0,1,56,61,106
17,97,0,107,40,50,91
18,97,61,1,39,78,102
19,92,139,0,58,63,103
20,63,108,50,26,30,101
21,63,101,151,78,102,39
22,97,50,107,42,50,66
23,94,100,103,50,91,40
24,153,0,1,41,57,75
25,153,0,76,39,78,102
26,153,57,1,40,91,50
27,194,0,1,58,63,103
28,193,63,1,56,61,106
29,193,124,1,56,61,106
30,144,78,51,26,30,101
31,150,148,1,35,56,100
32,252,0,1,56,61,106
33,252,61,1,36,46,113
34,249,107,1,58,63,103
35,141,78,152,81,97,27
36,249,170,1,56,61,106
37,192,0,104,42,50,66
38,234,0,107,42,50,66
39,222,50,114,42,50,66
40,144,108,107,78,102,39
41,308,0,1,58,63,103
42,276,0,107,40,50,91
43,307,63,1,27,81,97
44,307,63,98,39,78,102
45,307,141,98,39,78,102
46,366,0,1,58,63,103
47,264,50,114,36,113,46
48,334,63,1,36,113,46
49,316,0,104,40,50,91
50,264,50,160,26,101,30
51,346,63,47,58,63,103
52,346,126,47,35,56,100
53,346,126,147,35,100,56
54,356,0,104,41,57,75
55,424,0,1,56,61,106
56,424,61,1,35,56,100
57,424,61,101,39,78,102
58,404,117,1,39,102,78
59,381,126,79,39,78,102
60,397,0,107,42,50,66
61,439,0,107,41,57,75
62,222,100,114,36,113,46
63,443,117,1,36,113,46
64,480,0,1,39,78,102
65,443,117,47,57,75,41
66,519,0,1,39,78,102
67,500,78,1,56,61,106
68,500,139,1,36,46,113
69,480,0,103,41,57,75
70,521,0,103,35,56,100
71,463,57,107,40,50,91
72,503,57,107,40,50,91
73,397,0,173,26,101,30
74,185,185,1,50,40,91
75,0,159,0,36,46,113
76,500,185,1,50,40,91
77,420,139,88,56,61,106
78,137,0,178,91,50,40
79,543,56,107,41,57,75
80,141,50,179,57,75,41
81,222,100,160,36,113,46
82,536,113,107,39,78,102
83,558,0,1,27,81,97
84,141,125,179,57,75,41
85,258,163,107,35,56,100
86,346,57,150,42,50,66
87,556,81,1,27,81,97
88,556,0,103,26,30,101
89,556,30,103,30,26,101
90,476,185,92,36,46,113
91,258,50,190,26,101,30
92,305,176,1,66,50,42
93,512,191,92,50,42,66
94,0,63,187,26,101,30
95,36,202,0,81,27,97
96,370,63,1,26,101,30
97,63,101,190,26,101,30
98,381,204,79,81,27,97
99,512,191,158,66,42,50
100,89,50,190,26,101,30
101,115,50,190,26,101,30
102,463,107,88,26,30,101
103,489,107,107,26,30,101
