0.7107343329693097
index,x,y,z,length,width,height
1,0,0,0,39,65,71
2,0,0,71,55,66,93
3,39,0,0,73,105,60
4,55,0,60,39,65,71
5,94,0,60,36,44,55
6,112,0,0,36,44,55
7,130,0,55,38,60,60
8,148,0,0,65,71,39
9,168,0,39,60,73,105
10,213,0,0,58,82,23
11,228,0,23,36,44,55
12,228,0,78,24,39,81
13,252,0,78,36,44,55
14,264,0,23,36,44,55
15,300,0,1,55,78,103
16,355,0,1,55,76,106
17,410,0,1,44,73,98
18,454,0,1,58,61,74
19,512,0,1,55,76,106
20,454,0,75,24,58,66
21,478,0,75,24,39,81
22,288,0,104,38,60,60
23,228,44,23,55,78,103
24,454,58,75,39,65,71
25,94,44,60,24,39,81
26,326,0,107,36,44,55
27,454,61,1,58,61,74
28,118,73,1,60,73,105
29,410,0,99,38,60,60
30,0,66,60,52,77,90
31,0,65,0,23,82,58
32,355,76,1,55,76,106
33,55,65,60,23,58,82
34,410,73,1,44,73,98
35,512,76,1,69,97,114
36,178,73,1,24,39,81
37,283,78,1,55,66,93
38,178,73,82,39,65,71
39,23,105,0,73,98,44
40,217,122,1,47,97,105
41,178,112,1,39,65,71
42,283,60,104,38,60,60
43,52,123,44,55,78,103
44,454,122,1,23,82,58
45,454,123,59,58,61,74
46,178,138,72,39,65,71
47,264,152,1,97,47,105
48,361,184,59,97,47,105
49,326,44,107,69,114,97
50,395,0,159,73,105,60
51,0,0,164,58,66,24
52,58,0,142,77,90,52
53,0,0,188,58,66,24
54,468,0,156,73,98,44
55,228,44,126,52,77,90
56,468,98,146,76,106,55
57,135,0,144,58,61,74
58,58,0,194,39,81,24
59,0,66,150,55,93,66
60,217,121,126,60,105,73
61,107,146,1,60,73,105
62,107,90,106,55,78,103
63,0,159,147,105,73,60
64,193,0,159,36,44,55
65,502,0,107,65,71,39
66,252,0,133,24,39,81
67,162,61,153,39,71,65
68,326,0,162,66,24,58
69,276,0,164,36,44,55
70,544,1,146,39,65,71
71,277,121,126,44,98,73
72,410,60,99,24,81,39
73,280,44,164,36,44,55
74,544,66,146,36,44,55
75,512,71,115,58,82,23
76,512,173,1,73,60,105
77,162,132,153,55,93,66
78,361,152,1,93,66,55
79,395,105,146,65,71,39
80,544,110,138,38,60,60
81,201,44,153,24,58,66
82,395,105,185,58,82,23
83,477,122,1,23,82,58
84,0,143,58,38,60,60
85,0,143,118,39,81,24
86,107,168,106,36,44,55
87,544,170,115,38,60,60
88,105,168,161,36,44,55
