0.8519638998432018
index,x,y,z,length,width,height
1,0,0,0,33,92,113
2,0,92,0,33,92,113
3,33,0,0,33,92,113
4,33,92,0,33,92,113
5,66,0,0,33,92,113
6,66,92,0,33,92,113
7,0,184,0,92,33,113
8,99,0,0,33,92,113
9,99,92,0,33,92,113
10,132,0,0,33,92,113
11,132,92,0,33,92,113
12,165,0,0,33,92,113
13,165,92,0,33,92,113
14,92,184,0,92,33,113
15,198,0,0,33,92,113
16,0,0,113,39,119,59
17,39,0,113,39,119,59
18,78,0,113,39,119,59
19,117,0,113,39,119,59
20,0,119,113,119,39,59
21,0,158,113,119,39,59
22,156,0,113,39,119,59
23,195,0,113,39,119,59
24,234,0,1,39,119,59
25,119,119,113,119,39,59
26,119,158,113,119,39,59
27,273,0,1,39,59,119
28,273,59,1,39,59,119
29,273,118,1,39,59,119
30,184,184,0,119,39,59
31,312,0,1,39,59,119
32,312,59,1,39,59,119
33,312,118,1,39,59,119
34,351,0,1,39,59,119
35,234,0,120,47,116,49
36,281,0,120,47,116,49
37,328,0,120,47,116,49
38,238,116,120,47,116,49
39,285,116,120,47,116,49
40,332,116,120,47,116,49
41,303,177,1,47,49,116
42,184,184,59,116,47,49
43,390,0,1,47,49,116
44,375,0,120,47,116,49
45,390,49,1,47,49,116
46,351,98,1,47,49,116
47,379,116,117,47,116,49
48,351,147,1,47,49,116
49,437,0,1,47,49,116
50,422,0,117,47,116,49
51,437,49,1,47,49,116
52,398,98,1,47,49,116
53,426,116,117,47,116,49
54,231,0,60,35,75,45
55,231,75,60,35,75,45
56,198,92,0,35,75,45
57,398,147,1,49,52,54
58,398,147,55,49,52,54
59,484,0,1,49,52,54
60,469,0,117,49,52,54
61,484,0,55,49,52,54
62,469,52,117,49,52,54
63,484,52,1,49,52,54
64,484,52,55,49,52,54
65,447,104,1,49,52,54
66,447,104,55,49,52,54
67,473,104,109,49,52,54
68,447,156,1,49,52,54
69,447,156,55,49,52,54
70,198,92,45,33,92,64
71,496,104,1,33,64,92
72,496,168,1,33,64,92
73,533,0,1,33,64,92
74,533,64,1,33,64,92
75,529,128,1,33,64,92
76,0,0,172,64,92,33
77,0,92,172,64,92,33
78,0,197,113,64,33,92
79,64,0,172,64,92,33
80,64,92,172,64,92,33
81,64,197,113,64,33,92
82,128,0,172,64,92,33
83,518,0,109,44,68,79
84,522,68,109,44,68,79
85,522,136,93,44,68,79
86,473,156,109,44,68,79
87,192,0,172,68,79,44
88,260,0,169,68,79,44
89,328,0,169,68,79,44
90,396,0,169,68,79,44
91,192,79,172,68,79,44
92,260,79,169,68,79,44
93,328,79,169,68,79,44
94,396,79,169,68,79,44
95,128,158,172,79,68,44
96,464,0,171,47,116,49
97,207,158,172,116,49,47
98,323,158,169,116,49,47
99,517,136,172,35,75,45
100,552,136,172,35,75,45
101,529,192,1,45,35,75
102,511,0,188,37,99,30
103,548,0,188,37,99,30
104,351,59,1,30,37,99
105,350,196,1,30,37,99
106,128,197,113,99,30,37
107,380,199,1,37,30,99
108,128,92,172,29,57,33
109,157,92,172,29,57,33
110,511,99,188,57,33,29
111,233,119,1,29,33,57
112,233,152,1,33,29,57
113,464,116,188,33,57,29
114,439,173,166,33,57,29
115,417,199,1,29,33,57
116,417,199,58,29,33,57
117,517,204,93,33,29,57
118,550,204,76,33,29,57
119,231,150,58,37,28,52
