0.8638107427079504
index,x,y,z,length,width,height
1,0,0,0,56,96,98
2,0,96,0,56,96,98
3,56,0,0,56,96,98
4,56,96,0,56,96,98
5,112,0,0,56,96,98
6,112,96,0,56,96,98
7,168,0,0,56,96,98
8,168,96,0,56,96,98
9,224,0,0,56,96,98
10,224,96,0,56,96,98
11,280,0,0,47,88,98
12,280,88,0,47,88,98
13,327,0,0,47,88,98
14,327,88,0,47,88,98
15,280,176,0,88,47,98
16,374,0,0,47,88,98
17,374,88,0,47,88,98
18,421,0,0,47,88,98
19,421,88,0,47,88,98
20,0,0,98,33,92,113
21,0,92,98,33,92,113
22,33,0,98,33,92,113
23,33,92,98,33,92,113
24,66,0,98,33,92,113
25,66,92,98,33,92,113
26,0,184,98,92,33,113
27,99,0,98,33,92,113
28,132,0,98,57,72,78
29,132,72,98,57,72,78
30,99,144,98,57,72,78
31,189,0,98,57,72,78
32,189,72,98,57,72,78
33,156,144,98,57,72,78
34,246,0,98,57,72,78
35,246,72,98,57,72,78
36,0,192,0,119,39,59
37,119,192,0,119,39,59
38,468,0,0,39,59,119
39,303,0,98,39,119,59
40,507,0,0,39,59,119
41,342,0,98,39,119,59
42,546,0,0,39,59,119
43,381,0,98,39,119,59
44,468,59,0,39,59,119
45,420,1,98,39,119,59
46,507,59,0,39,59,119
47,459,1,119,39,119,59
48,303,0,157,47,116,49
49,350,0,157,47,116,49
50,397,0,157,47,116,49
51,498,1,119,47,116,49
52,303,116,157,47,116,49
53,350,116,157,47,116,49
54,397,116,157,47,116,49
55,498,117,119,47,116,49
56,468,118,0,47,49,116
57,515,118,0,44,68,79
58,303,119,98,68,79,44
59,213,144,98,44,68,79
60,257,144,98,44,68,79
61,368,176,0,68,44,79
62,436,176,0,68,44,79
63,504,186,0,68,44,79
64,132,0,176,68,79,44
65,200,0,176,68,79,44
66,498,1,168,68,79,44
67,132,79,176,68,79,44
68,498,80,168,68,79,44
69,200,79,176,92,64,33
70,515,118,79,64,92,33
71,444,120,116,33,64,92
72,371,119,98,49,52,54
73,477,159,168,49,54,52
74,526,159,168,49,54,52
75,371,171,98,49,52,54
76,444,184,79,54,49,52
77,545,1,119,35,75,45
78,546,59,0,35,45,75
79,545,76,119,35,75,45
80,200,143,177,45,75,35
81,245,143,177,45,75,35
82,545,151,112,35,75,45
83,444,1,178,30,99,37
84,99,92,98,30,37,99
85,0,192,59,99,30,37
86,99,192,59,99,30,37
87,420,120,98,23,83,44
88,99,129,176,23,83,44
89,444,184,131,23,44,83
90,268,0,176,29,57,33
91,546,59,75,29,57,33
92,122,158,176,29,57,33
93,151,158,176,29,57,33
94,198,192,59,57,29,33
95,559,104,0,28,37,52
96,559,141,0,28,37,52
97,238,192,0,28,37,52
98,301,198,98,37,28,52
99,467,184,131,31,41,33
100,338,198,98,31,33,41
