0.8620474436034752
index,x,y,z,length,width,height
1,0,0,0,41,84,90
2,0,84,0,41,84,90
3,41,0,0,41,84,90
4,41,84,0,41,84,90
5,82,0,0,41,84,90
6,82,84,0,41,84,90
7,0,168,0,84,41,90
8,123,0,0,41,84,90
9,123,84,0,41,84,90
10,164,0,0,41,84,90
11,164,84,0,41,84,90
12,84,168,0,84,41,90
13,205,0,0,41,84,90
14,205,84,0,41,84,90
15,168,168,0,70,25,89
16,168,193,0,70,25,89
17,246,0,0,25,70,89
18,246,70,0,25,70,89
19,246,140,0,25,70,89
20,271,0,0,25,70,89
21,271,70,0,25,70,89
22,271,140,0,25,70,89
23,296,0,0,25,70,89
24,296,70,0,25,70,89
25,296,140,0,25,70,89
26,321,0,0,25,70,89
27,346,0,0,41,84,90
28,321,84,0,41,84,90
29,387,0,0,41,84,90
30,362,84,0,25,70,89
31,387,84,0,25,70,89
32,362,154,0,25,70,89
33,387,154,0,25,70,89
34,428,0,0,25,70,89
35,428,70,0,25,70,89
36,412,140,0,25,70,89
37,453,0,0,25,70,89
38,453,70,0,25,70,89
39,437,140,0,41,84,90
40,478,0,0,41,84,90
41,478,84,0,41,84,90
42,519,0,0,41,84,90
43,519,84,0,41,84,90
44,478,168,0,70,25,89
45,478,193,0,70,25,89
46,0,0,90,41,84,90
47,0,84,90,41,84,90
48,41,0,90,41,84,90
49,41,84,90,41,84,90
50,82,0,90,41,84,90
51,82,84,90,41,84,90
52,0,168,90,84,41,90
53,123,0,90,41,84,90
54,123,84,90,41,84,90
55,164,0,90,41,84,90
56,164,84,90,41,84,90
57,84,168,90,84,41,90
58,205,0,90,41,84,90
59,205,84,90,41,84,90
60,168,168,89,70,25,89
61,168,193,89,70,25,89
62,246,0,89,41,84,90
63,246,84,89,41,84,90
64,287,0,89,41,84,90
65,238,168,89,84,41,90
66,328,0,90,41,84,90
67,369,0,90,41,84,90
68,410,0,90,41,84,90
69,451,0,90,41,84,90
70,492,0,90,41,84,90
71,533,0,90,41,84,90
72,287,84,90,41,84,90
73,328,84,90,41,84,90
74,560,0,0,27,37,78
75,560,37,0,27,37,78
76,560,74,0,27,37,78
77,369,84,89,27,37,78
78,396,84,89,27,37,78
79,423,84,89,27,37,78
80,450,84,89,27,37,78
81,477,84,90,27,37,78
82,504,84,90,27,37,78
83,531,84,90,27,37,78
84,558,84,90,27,37,78
85,560,111,0,27,37,78
86,369,121,89,27,37,78
87,396,121,89,27,37,78
88,423,121,90,27,37,78
89,450,121,90,27,37,78
90,477,121,90,27,37,78
91,504,121,90,27,37,78
92,531,121,90,27,37,78
93,558,121,90,27,37,78
94,560,148,0,27,37,78
95,369,158,89,27,37,78
96,396,158,89,27,37,78
97,423,158,90,27,37,78
98,450,158,90,27,37,78
99,477,158,90,27,37,78
100,504,158,90,27,37,78
101,531,158,90,27,37,78
102,558,158,90,27,37,78
103,321,168,0,27,37,78
104,322,168,78,27,37,78
105,548,185,0,27,37,78
106,349,195,89,27,37,78
107,376,195,90,70,25,89
108,446,195,90,70,25,89
109,516,195,89,70,25,89
110,0,0,180,70,89,25
111,0,89,180,70,89,25
112,70,0,180,70,89,25
113,70,89,180,70,89,25
114,140,0,180,70,89,25
115,140,89,180,70,89,25
116,210,0,180,70,89,25
117,210,89,180,70,89,25
118,280,0,180,70,89,25
119,280,89,180,70,89,25
120,350,0,180,70,89,25
121,350,89,180,70,89,25
122,420,0,180,70,89,25
123,420,89,168,70,89,25
124,490,0,180,70,89,25
125,490,89,168,70,89,25
126,420,89,193,70,89,25
127,490,89,193,70,89,25
128,560,0,180,27,78,37
129,560,78,180,27,78,37
130,0,178,180,78,27,37
131,78,178,180,78,27,37
132,156,178,180,78,27,37
133,234,178,179,78,27,37
134,312,178,179,78,27,37
135,390,178,179,78,27,37
136,468,178,179,78,27,37
137,0,205,180,78,27,37
138,78,205,180,78,27,37
139,156,205,180,78,27,37
140,234,205,179,78,27,37
141,312,205,179,78,27,37
142,321,205,0,37,27,78
143,390,205,179,78,27,37
144,468,205,179,78,27,37
