---------------------------------------------------------------------------------------------
                                       *** REPORT ***
---------------------------------------------------------------------------------------------
ELAPSED TIME                                          : Almost 0 sec
TOTAL NUMBER OF ITERATIONS DONE                       : 1
BEST SOLUTION FOUND AT ITERATION                      : 0 OF VARIANT: 1
TOTAL NUMBER OF BOXES                                 : 185
PACKED NUMBER OF BOXES                                : 111
TOTAL VOLUME OF ALL BOXES                             : 29970844.00
PALLET VOLUME                                         : 30089620.00
BEST SOLUTION'S VOLUME UTILIZATION                    : 16831144.00 OUT OF 30089620.00
PERCENTAGE OF PALLET VOLUME USED                      : 55.936712 %
PERCENTAGE OF PACKED BOXES (VOLUME)                   : 56.158392 %
WHILE PALLET ORIENTATION                              : X=587.00; Y=233.00; Z= 220.00
---------------------------------------------------------------------------------------------
  NO: PACKSTA DIMEN-1  DMEN-2  DIMEN-3   COOR-X   COOR-Y   COOR-Z   PACKEDX  PACKEDY  PACKEDZ
---------------------------------------------------------------------------------------------


 *** LIST OF UNPACKED BOXES ***
  112 119.  59.  39.
  113 119.  59.  39.
  114 119.  59.  39.
  115 119.  59.  39.
  116 119.  59.  39.
  117 119.  59.  39.
  118 119.  59.  39.
  119 119.  59.  39.
  120 119.  59.  39.
  121 119.  59.  39.
  122 119.  59.  39.
  123 119.  59.  39.
  124 119.  59.  39.
  125 119.  59.  39.
  126 119.  59.  39.
  127 119.  59.  39.
  128 119.  59.  39.
  129 119.  59.  39.
  130 119.  59.  39.
  131 119.  59.  39.
  132 119.  59.  39.
  133 119.  59.  39.
  134 119.  59.  39.
  135 119.  59.  39.
  136 119.  59.  39.
  137 119.  59.  39.
  138  54.  52.  49.
  139  54.  52.  49.
  140  54.  52.  49.
  141  54.  52.  49.
  142  54.  52.  49.
  143  54.  52.  49.
  144  54.  52.  49.
  145  54.  52.  49.
  146  54.  52.  49.
  147  54.  52.  49.
  148  54.  52.  49.
  149  54.  52.  49.
  150  54.  52.  49.
  151  54.  52.  49.
  152  54.  52.  49.
  153  54.  52.  49.
  154  54.  52.  49.
  155  54.  52.  49.
  156  75.  45.  35.
  157  75.  45.  35.
  158  75.  45.  35.
  159  75.  45.  35.
  160  75.  45.  35.
  161  75.  45.  35.
  162  75.  45.  35.
  163  75.  45.  35.
  164  75.  45.  35.
  165  75.  45.  35.
  166  75.  45.  35.
  167  75.  45.  35.
  168  75.  45.  35.
  169  75.  45.  35.
  170  75.  45.  35.
  171  75.  45.  35.
  172  75.  45.  35.
  173  75.  45.  35.
  174  75.  45.  35.
  175  75.  45.  35.
  176  75.  45.  35.
  177  75.  45.  35.
  178  75.  45.  35.
  179  75.  45.  35.
  180  75.  45.  35.
  181  75.  45.  35.
  182  75.  45.  35.
  183  75.  45.  35.
  184  75.  45.  35.
  185  75.  45.  35.
