0.8226687143273993
index,x,y,z,length,width,height
1,0,0,0,72,80,100
2,0,80,0,72,80,100
3,72,0,0,72,80,100
4,72,80,0,72,80,100
5,0,160,0,80,72,100
6,144,0,0,72,80,100
7,144,80,0,72,80,100
8,80,160,0,80,72,100
9,216,0,0,72,80,100
10,216,80,0,72,80,100
11,160,160,0,80,72,100
12,288,0,0,72,80,100
13,288,80,0,72,80,100
14,240,160,0,80,72,100
15,360,0,0,72,80,100
16,360,80,0,72,80,100
17,320,160,0,80,72,100
18,432,0,0,72,80,100
19,432,80,0,72,80,100
20,400,160,0,80,72,100
21,504,0,0,43,77,87
22,504,77,0,43,77,87
23,504,154,0,43,77,87
24,0,0,100,43,77,87
25,0,77,100,43,77,87
26,0,154,100,43,77,87
27,43,0,100,43,77,87
28,43,77,100,43,77,87
29,43,154,100,43,77,87
30,86,0,100,43,77,87
31,86,77,100,43,77,87
32,86,154,100,43,77,87
33,129,0,100,43,77,87
34,129,77,100,43,77,87
35,129,154,100,43,77,87
36,172,0,100,43,77,87
37,172,77,100,43,77,87
38,172,154,100,43,77,87
39,215,0,100,43,77,87
40,215,77,100,43,77,87
41,215,154,100,43,77,87
42,504,0,87,39,54,88
43,543,0,87,39,54,88
44,547,0,0,39,88,54
45,504,54,87,39,54,88
46,543,54,87,39,54,88
47,547,88,0,39,88,54
48,504,108,87,39,54,88
49,543,108,87,39,54,88
50,480,162,87,39,54,88
51,519,162,87,39,54,88
52,258,0,100,39,54,88
53,297,0,100,39,54,88
54,336,0,100,39,54,88
55,375,0,100,39,54,88
56,414,0,100,39,54,88
57,453,0,100,39,54,88
58,492,0,175,54,88,39
59,258,54,100,39,54,88
60,297,54,100,39,54,88
61,336,54,100,39,54,88
62,375,54,100,39,54,88
63,414,54,100,39,54,88
64,453,54,100,39,54,88
65,492,88,175,54,88,39
66,258,108,100,39,54,88
67,297,108,100,36,54,94
68,333,108,100,36,54,94
69,369,108,100,36,54,94
70,405,108,100,36,54,94
71,441,108,100,36,54,94
72,258,162,100,36,54,94
73,294,162,100,36,54,94
74,330,162,100,36,54,94
75,366,162,100,36,54,94
76,402,162,100,36,54,94
77,438,162,100,36,54,94
78,474,176,175,94,54,36
79,546,0,175,36,83,40
80,546,83,175,36,83,40
81,547,176,0,36,40,83
