0.8717858184982064
index,x,y,z,length,width,height
1,0,0,0,72,84,85
2,0,84,0,72,84,85
3,72,0,0,72,84,85
4,72,84,0,72,84,85
5,144,0,0,72,84,85
6,144,84,0,72,84,85
7,216,0,0,72,84,85
8,216,84,0,72,84,85
9,288,0,0,72,84,85
10,288,84,0,72,84,85
11,0,0,85,64,76,103
12,0,76,85,64,76,103
13,0,152,85,64,76,103
14,64,0,85,64,76,103
15,64,76,85,64,76,103
16,64,152,85,64,76,103
17,0,168,0,103,64,76
18,128,0,85,64,76,103
19,128,76,85,62,70,95
20,128,146,85,62,70,95
21,192,0,85,62,70,95
22,192,70,85,62,70,95
23,190,140,85,62,70,95
24,103,168,0,95,62,70
25,254,0,85,63,75,75
26,254,75,85,63,75,75
27,252,150,85,63,75,75
28,198,168,0,75,63,75
29,317,0,85,63,75,75
30,317,75,85,63,75,75
31,315,150,85,63,75,75
32,273,168,0,75,63,75
33,380,0,1,63,75,75
34,380,0,76,63,75,75
35,360,75,1,63,75,75
36,380,75,76,38,76,86
37,378,151,1,38,76,86
38,378,151,87,38,76,86
39,443,0,1,38,76,86
40,443,0,87,38,76,86
41,423,76,1,38,76,86
42,418,76,87,38,76,86
43,416,152,1,38,76,86
44,416,152,87,38,76,86
45,481,0,1,38,76,86
46,481,0,87,38,76,86
47,456,76,87,38,76,86
48,461,76,1,44,98,52
49,454,152,53,44,52,98
50,519,0,1,44,52,98
51,519,52,1,44,52,98
52,505,104,1,44,52,98
53,505,156,1,44,52,98
54,254,0,160,44,98,52
55,298,0,160,44,98,52
56,342,0,160,98,44,52
57,440,0,173,48,71,47
58,488,0,173,48,71,47
59,519,0,99,47,48,71
60,536,0,170,48,71,47
61,519,48,99,47,48,71
62,342,44,162,48,71,47
63,390,44,173,48,71,47
64,519,71,170,47,71,48
65,438,71,173,48,71,47
66,494,96,99,47,48,71
67,254,98,160,47,71,48
68,301,115,160,48,71,47
69,349,115,173,48,71,47
70,494,142,170,47,71,48
71,0,0,188,49,111,26
72,49,0,188,49,111,26
73,98,0,188,49,111,26
74,147,0,188,49,111,26
75,196,0,180,49,111,26
76,541,96,99,26,111,49
77,549,104,1,26,111,49
78,549,104,50,26,111,49
79,0,111,188,49,111,26
80,49,111,188,49,111,26
81,128,111,180,43,90,33
82,171,111,180,43,90,33
83,397,115,173,33,90,43
84,541,142,148,33,90,43
85,252,169,160,41,51,60
86,293,186,160,51,41,60
87,454,152,151,40,74,42
88,563,0,1,23,37,73
89,563,37,1,23,37,73
90,461,76,53,37,73,23
91,214,111,180,23,73,37
92,541,142,191,37,73,23
93,430,142,193,37,73,23
94,498,144,99,23,73,37
95,498,144,136,37,73,23
96,348,168,0,23,37,73
97,128,201,180,73,23,37
98,486,71,173,31,48,36
99,454,174,1,31,36,48
100,214,184,180,31,48,36
101,344,186,160,31,36,48
102,563,0,74,21,49,25
103,566,0,99,21,25,49
104,566,25,99,21,25,49
105,563,49,74,21,49,25
106,566,50,99,21,25,49
107,566,71,148,21,25,49
108,563,74,1,21,25,49
109,566,96,148,21,25,49
110,98,111,188,21,49,25
111,467,142,193,21,49,25
112,98,160,188,21,49,25
113,454,204,49,21,25,49
114,454,204,98,21,25,49
