index,x,y,z,length,width,height
1,0,0,0,96,98,56
2,96,0,0,96,98,56
3,192,0,0,96,98,56
4,288,0,0,96,98,56
5,384,0,0,96,98,56
6,480,0,0,96,98,56
7,0,0,56,98,96,56
8,0,98,0,96,98,56
9,98,0,56,96,98,56
10,96,98,0,96,98,56
11,0,96,56,88,98,47
12,88,98,56,88,98,47
13,194,0,56,88,98,47
14,176,98,56,88,98,47
15,192,98,0,88,98,47
16,282,0,56,88,98,47
17,264,98,47,88,98,47
18,280,98,0,88,98,47
19,370,0,56,88,98,47
20,352,98,47,92,113,33
21,458,0,56,92,113,33
22,368,98,0,92,113,33
23,460,98,0,113,92,33
24,444,113,33,92,113,33
25,444,113,66,92,113,33
26,0,0,112,92,113,33
27,92,0,112,92,113,33
28,352,98,80,78,72,57
29,0,0,145,72,78,57
30,72,0,145,72,78,57
31,0,113,103,72,78,57
32,144,0,145,72,78,57
33,72,113,103,72,78,57
34,216,0,103,72,78,57
35,144,113,103,72,78,57
36,216,0,160,59,119,39
37,216,78,103,59,119,39
38,0,78,160,59,119,39
39,59,78,160,59,119,39
40,118,78,160,59,119,39
41,288,0,103,59,119,39
42,275,0,160,59,119,39
43,334,0,142,119,59,39
44,453,0,103,59,119,39
45,453,0,142,59,119,39
46,512,0,99,59,119,39
47,512,0,138,59,119,39
48,334,59,142,49,116,47
49,383,59,137,49,116,47
50,536,113,33,49,116,47
51,177,119,160,116,49,47
52,432,119,99,116,49,47
53,432,119,146,116,49,47
54,177,168,160,116,49,47
55,432,168,99,116,49,47
56,432,168,146,116,49,47
57,347,0,103,64,92,33
58,432,0,181,64,92,33
59,496,0,181,64,92,33
60,275,119,94,64,92,33
61,352,170,80,52,54,49
62,293,175,127,52,54,49
63,383,1,184,45,75,35
64,383,76,184,45,75,35
65,383,151,184,45,75,35
66,293,175,176,75,45,35
67,334,1,189,37,99,30
68,548,119,80,37,99,30
69,548,119,110,37,99,30
70,548,119,140,37,99,30
71,548,119,170,37,99,30
72,460,190,0,99,37,30
73,0,191,103,99,37,30
74,99,191,103,99,37,30
75,0,196,0,99,37,30
76,0,196,30,99,37,30
77,0,196,60,99,37,30
78,99,196,0,99,37,30
79,428,92,193,44,83,23
80,472,92,193,44,83,23
81,428,175,193,83,44,23
82,411,0,103,33,57,29
83,550,0,56,33,57,29
84,334,100,189,33,57,29
85,345,175,129,33,57,29
86,378,175,129,33,57,29
87,275,119,127,37,52,28
88,293,119,155,37,52,28
89,293,119,183,37,52,28
90,99,196,30,52,37,28
91,99,196,58,52,37,28
92,151,196,30,52,37,28
93,151,196,58,52,37,28
94,198,196,0,52,37,28
95,203,196,28,52,37,28
96,203,196,56,52,37,28
97,250,196,0,52,37,28
98,255,196,28,52,37,28
99,411,57,103,33,41,31
100,550,57,56,33,41,31
101,177,78,160,33,41,31
102,255,196,56,41,33,31
103,296,196,56,41,33,31
104,0,197,133,41,33,31
105,0,197,164,41,33,31
106,41,197,133,41,33,31
107,41,197,164,41,33,31
108,82,197,133,41,33,31
109,82,197,164,41,33,31
110,123,197,133,41,33,31
111,123,197,164,41,33,31
container,,,,587, 233, 220
