# {"t_start": 1672454481.0785525, "env_id": "PctContinuous-v0"} 
r,l,t
4.764292,14,3.60357
2.905256,14,4.559621
4.04244,14,5.53017
3.257188,18,6.836056
5.072399,31,9.119415
4.401413,20,10.594076
3.174,15,11.699483
4.304911,18,12.981284
4.75198,17,14.268769
2.782244,15,15.377241
4.6095,17,16.58036
5.014477,18,17.928195
5.633337,28,19.952345
4.418334,15,21.065199
4.610572,19,22.500883
4.001066,17,23.747371
4.504698,21,25.360775
4.312623,22,26.9286
4.663417,14,27.940086
5.094457,19,29.369095
4.460314,20,30.833342
4.839571,14,31.832935
5.339696,26,33.802788
3.857652,20,35.242332
5.054119,19,36.63599
3.863792,19,38.039617
4.50785,22,39.693595
5.525529,18,40.999649
5.595131,21,42.517425
3.778038,14,43.560421
4.360787,21,45.097759
4.029751,28,47.159706
3.575365,18,48.502294
4.833114,18,49.785768
4.765966,13,50.787259
4.143649,20,52.246243
4.962379,21,53.748605
4.426119,15,54.902223
5.46645,20,56.35666
5.096776,25,58.198443
4.774859,17,59.451054
4.404777,18,60.756508
4.834789,22,62.396617
5.406581,21,63.917013
5.236457,22,65.5662
5.130801,23,67.249484
5.050526,20,68.693636
5.337296,19,70.082345
5.06846,18,71.417749
4.616926,20,72.917306
3.292932,14,73.950202
2.910576,16,75.080059
4.467311,14,76.085708
3.857929,14,77.149071
3.243795,12,77.996351
5.273421,19,79.382767
3.986388,19,80.836641
4.800669,17,82.081462
5.061641,19,83.494174
4.982707,21,85.036249
4.123979,18,86.341731
3.363465,14,87.331834
5.207338,18,88.712356
3.825381,18,90.05534
4.687168,22,91.720605
5.075182,24,93.480767
4.869525,19,94.937789
2.086248,11,95.766177
5.509975,25,97.570479
4.103002,17,98.865295
3.975722,18,100.195283
3.868361,15,101.303243
5.014159,21,102.883122
5.281067,18,104.221219
6.154627,28,106.241509
5.540552,21,107.802917
5.052357,20,109.272514
2.817095,16,110.506269
5.022477,20,111.953691
4.205327,13,112.870405
4.845998,21,114.479109
5.085354,19,115.889666
6.082728,24,117.721241
5.233002,20,119.178912
6.177645,29,121.385509
5.85609,23,123.061548
4.775276,27,125.128832
6.420357,27,127.063767
4.464197,21,128.6671
4.436593,22,130.324612
6.350723,26,132.265658
5.987078,24,134.029689
4.223492,15,135.11973
5.700771,27,137.179862
6.539362,28,139.268553
5.403715,22,140.920567
5.123035,18,142.272004
4.315675,16,143.493405
5.336954,20,144.96617
6.217543,26,146.856361
4.862252,19,148.304593
4.659716,22,149.936121
6.906871,24,151.758964
5.855976,25,153.599902
6.70398,21,155.20002
5.179355,22,156.826813
5.355358,24,158.647928
6.118968,30,160.899755
6.206519,25,162.788553
5.550006,24,164.519868
5.618645,29,166.684837
5.907331,23,168.494066
4.362738,22,170.239989
6.135152,26,172.439605
6.275509,21,174.279817
7.068061,19,175.87967
4.947273,18,177.218295
5.343469,17,178.518813
5.479058,24,180.300628
5.125591,18,181.682518
4.711314,19,183.068797
5.939649,18,184.387557
5.832035,24,186.169418
4.381691,20,187.619946
6.724255,24,189.433512
5.928311,24,191.223808
5.455194,25,193.112549
4.968454,19,194.473045
5.198538,16,195.693531
5.210102,16,196.886618
4.17595,22,198.466666
4.670504,23,200.232041
5.81084,23,201.923175
6.003091,28,204.045451
5.721284,32,206.437763
5.118633,19,207.900289
5.81867,22,209.667086
5.400769,25,211.796422
5.479923,22,213.559397
4.004831,15,214.742403
5.641262,21,216.33738
2.415425,12,217.222519
3.985116,16,218.416537
5.676851,26,220.36114
5.121883,21,221.918381
7.090845,20,223.440068
5.463277,28,225.527941
3.418995,16,226.699628
4.384661,18,228.067896
6.384758,27,230.028748
5.381073,19,231.477897
6.220079,26,233.390399
5.198572,19,234.843751
5.657057,23,236.514628
5.739298,19,237.891895
5.614293,19,239.357331
5.576407,30,241.558233
5.210493,23,243.294411
5.495713,26,245.227942
4.02173,15,246.383635
