,item,x,y,z,width,depth,height,layer
0,76,0,0,0,88,94,50,0
1,105,88,0,0,88,94,50,0
2,111,0,94,0,88,94,50,0
3,116,88,94,0,88,94,50,0
4,118,0,188,0,88,94,50,0
5,129,88,188,0,88,94,50,0
6,10,0,282,0,51,65,50,0
7,14,51,282,0,51,65,50,0
8,22,102,282,0,51,65,50,0
9,38,153,282,0,51,65,50,0
10,50,0,347,0,51,65,50,0
11,64,51,347,0,51,65,50,0
12,72,102,347,0,51,65,50,0
13,82,153,347,0,51,65,50,0
14,119,0,412,0,94,88,50,0
15,86,0,500,0,51,65,50,0
16,89,51,500,0,51,65,50,0
17,98,94,412,0,51,65,50,0
18,99,145,412,0,51,65,50,0
19,106,102,477,0,51,65,50,0
20,121,153,477,0,51,65,50,0
21,85,0,0,50,94,88,50,1
22,88,94,0,50,94,88,50,1
23,93,0,88,50,94,88,50,1
24,115,94,88,50,94,88,50,1
25,1,0,176,50,88,94,50,1
26,4,88,176,50,88,94,50,1
27,128,176,176,50,51,65,50,1
28,9,0,270,50,88,94,50,1
29,17,88,270,50,88,94,50,1
30,23,0,364,50,88,94,50,1
31,31,88,364,50,88,94,50,1
32,36,0,458,50,88,94,50,1
33,62,88,458,50,88,94,50,1
34,20,0,0,100,84,86,45,2
35,43,84,0,100,84,86,45,2
36,60,0,86,100,84,86,45,2
37,63,84,86,100,84,86,45,2
38,67,0,172,100,84,86,45,2
39,79,84,172,100,84,86,45,2
40,90,0,258,100,84,86,45,2
41,91,84,258,100,84,86,45,2
42,108,0,344,100,84,86,45,2
43,110,84,344,100,84,86,45,2
44,78,0,430,100,86,84,45,2
45,92,86,430,100,86,84,45,2
46,18,0,0,145,73,78,40,3
47,19,73,0,145,73,78,40,3
48,26,0,78,145,73,78,40,3
49,28,73,78,145,73,78,40,3
50,55,0,156,145,73,78,40,3
51,56,73,156,145,73,78,40,3
52,59,0,234,145,73,78,40,3
53,65,73,234,145,73,78,40,3
54,69,0,312,145,73,78,40,3
55,94,73,312,145,73,78,40,3
56,100,0,390,145,73,78,40,3
57,122,73,390,145,73,78,40,3
58,125,0,468,145,73,78,40,3
59,132,73,468,145,73,78,40,3
60,6,0,0,185,45,81,34,4
61,7,45,0,185,45,81,34,4
62,11,90,0,185,45,81,34,4
63,16,135,0,185,45,81,34,4
64,24,0,81,185,45,81,34,4
65,32,45,81,185,45,81,34,4
66,42,90,81,185,45,81,34,4
67,44,135,81,185,45,81,34,4
68,53,0,162,185,45,81,34,4
69,57,45,162,185,45,81,34,4
70,74,90,162,185,45,81,34,4
71,80,135,162,185,45,81,34,4
72,96,0,243,185,45,81,34,4
73,104,45,243,185,45,81,34,4
74,109,90,243,185,45,81,34,4
75,112,135,243,185,45,81,34,4
76,124,0,324,185,45,81,34,4
77,127,45,324,185,45,81,34,4
78,75,90,324,185,81,45,34,4
79,8,0,405,185,81,45,34,4
80,34,81,405,185,81,45,34,4
