,item,x,y,z,width,depth,height,layer
0,1,0,0,0,97,105,47,0
1,14,97,0,0,97,105,47,0
2,23,0,105,0,97,105,47,0
3,42,97,105,0,97,105,47,0
4,55,0,210,0,97,105,47,0
5,69,97,210,0,97,105,47,0
6,79,0,315,0,97,105,47,0
7,80,97,315,0,97,105,47,0
8,92,0,420,0,97,105,47,0
9,96,97,420,0,97,105,47,0
10,35,0,0,47,106,76,55,1
11,64,106,0,47,106,76,55,1
12,3,0,76,47,78,103,55,1
13,17,78,76,47,78,103,55,1
14,101,156,76,47,76,106,55,1
15,18,0,179,47,78,103,55,1
16,26,78,179,47,78,103,55,1
17,50,0,282,47,78,103,55,1
18,57,78,282,47,78,103,55,1
19,60,0,385,47,78,103,55,1
20,83,78,385,47,78,103,55,1
21,10,0,488,47,66,93,55,1
22,19,66,488,47,66,93,55,1
23,2,0,0,102,76,106,55,2
24,21,76,0,102,76,106,55,2
25,100,152,0,102,78,103,55,2
26,47,0,106,102,76,106,55,2
27,59,76,106,102,76,106,55,2
28,61,0,212,102,76,106,55,2
29,75,76,212,102,76,106,55,2
30,81,0,318,102,76,106,55,2
31,89,76,318,102,76,106,55,2
32,91,0,424,102,76,106,55,2
33,99,76,424,102,76,106,55,2
34,5,0,0,157,73,105,60,3
35,12,73,0,157,73,105,60,3
36,102,146,0,157,73,105,60,3
37,16,0,105,157,73,105,60,3
38,20,73,105,157,73,105,60,3
39,22,0,210,157,73,105,60,3
40,38,73,210,157,73,105,60,3
41,39,0,315,157,73,105,60,3
42,41,73,315,157,73,105,60,3
43,43,0,420,157,73,105,60,3
44,63,73,420,157,73,105,60,3
