,item,x,y,z,width,depth,height,layer
0,2,0,0,0,99,120,73,0
1,8,99,0,0,99,120,73,0
2,21,0,120,0,99,120,73,0
3,46,99,120,0,99,120,73,0
4,52,0,240,0,99,120,73,0
5,59,99,240,0,99,120,73,0
6,61,0,360,0,99,120,73,0
7,62,99,360,0,99,120,73,0
8,63,0,480,0,120,99,73,0
9,15,0,0,73,108,76,30,1
10,20,108,0,73,108,76,30,1
11,25,0,76,73,108,76,30,1
12,36,108,76,73,108,76,30,1
13,45,0,152,73,108,76,30,1
14,66,108,152,73,108,76,30,1
15,10,0,228,73,76,108,30,1
16,27,76,228,73,76,108,30,1
17,77,152,228,73,76,108,30,1
18,34,0,336,73,76,108,30,1
19,37,76,336,73,76,108,30,1
20,41,0,444,73,76,108,30,1
21,44,76,444,73,76,108,30,1
22,75,0,0,103,81,92,55,2
23,79,81,0,103,81,92,55,2
24,4,0,92,103,92,81,55,2
25,7,92,92,103,92,81,55,2
26,11,0,173,103,92,81,55,2
27,17,92,173,103,92,81,55,2
28,26,0,254,103,92,81,55,2
29,31,92,254,103,92,81,55,2
30,35,0,335,103,92,81,55,2
31,39,92,335,103,92,81,55,2
32,56,0,416,103,92,81,55,2
33,58,92,416,103,92,81,55,2
34,71,0,497,103,92,81,55,2
35,72,92,497,103,92,81,55,2
36,1,0,0,158,81,92,55,3
37,5,81,0,158,81,92,55,3
38,6,0,92,158,81,92,55,3
39,16,81,92,158,81,92,55,3
40,23,0,184,158,81,92,55,3
41,32,81,184,158,81,92,55,3
42,33,0,276,158,81,92,55,3
43,42,81,276,158,81,92,55,3
44,47,0,368,158,81,92,55,3
45,51,81,368,158,81,92,55,3
46,57,0,460,158,81,92,55,3
47,70,81,460,158,81,92,55,3
