,item,x,y,z,width,depth,height,layer
0,4,0,0,0,108,76,30,0
1,22,108,0,0,108,76,30,0
2,34,0,76,0,108,76,30,0
3,38,108,76,0,108,76,30,0
4,39,0,152,0,108,76,30,0
5,42,108,152,0,108,76,30,0
6,45,0,228,0,108,76,30,0
7,54,108,228,0,108,76,30,0
8,62,0,304,0,108,76,30,0
9,66,108,304,0,108,76,30,0
10,73,0,380,0,108,76,30,0
11,74,108,380,0,108,76,30,0
12,8,0,456,0,76,108,30,0
13,12,76,456,0,76,108,30,0
14,91,152,456,0,76,108,30,0
15,6,0,0,30,99,120,73,1
16,27,99,0,30,99,120,73,1
17,35,0,120,30,99,120,73,1
18,60,99,120,30,99,120,73,1
19,70,0,240,30,99,120,73,1
20,71,99,240,30,99,120,73,1
21,88,0,360,30,99,120,73,1
22,90,99,360,30,99,120,73,1
23,41,0,480,30,120,99,73,1
24,7,0,0,103,98,72,46,2
25,13,98,0,103,98,72,46,2
26,15,0,72,103,98,72,46,2
27,33,98,72,103,98,72,46,2
28,40,0,144,103,98,72,46,2
29,61,98,144,103,98,72,46,2
30,76,0,216,103,98,72,46,2
31,80,98,216,103,98,72,46,2
32,89,0,288,103,98,72,46,2
33,94,98,288,103,98,72,46,2
34,10,0,360,103,72,98,46,2
35,31,72,360,103,72,98,46,2
36,47,0,458,103,72,98,46,2
37,86,72,458,103,72,98,46,2
38,14,0,0,149,81,92,55,3
39,18,81,0,149,81,92,55,3
40,24,0,92,149,81,92,55,3
41,29,81,92,149,81,92,55,3
42,30,0,184,149,81,92,55,3
43,32,81,184,149,81,92,55,3
44,79,0,276,149,81,92,55,3
45,82,81,276,149,81,92,55,3
46,49,0,368,149,92,81,55,3
47,50,92,368,149,92,81,55,3
48,69,0,449,149,92,81,55,3
49,72,92,449,149,92,81,55,3
