,item,x,y,z,width,depth,height,layer
0,6,0,0,0,49,111,26,0
1,93,49,0,0,49,111,26,0
2,94,98,0,0,49,111,26,0
3,10,0,111,0,111,49,26,0
4,12,111,111,0,111,49,26,0
5,13,0,160,0,111,49,26,0
6,17,111,160,0,111,49,26,0
7,25,0,209,0,111,49,26,0
8,28,111,209,0,111,49,26,0
9,30,0,258,0,111,49,26,0
10,42,111,258,0,111,49,26,0
11,44,0,307,0,111,49,26,0
12,60,111,307,0,111,49,26,0
13,64,0,356,0,111,49,26,0
14,67,111,356,0,111,49,26,0
15,71,0,405,0,111,49,26,0
16,82,111,405,0,111,49,26,0
17,88,0,454,0,111,49,26,0
18,92,111,454,0,111,49,26,0
19,109,0,503,0,111,49,26,0
20,112,111,503,0,111,49,26,0
21,2,0,0,26,103,76,64,1
22,3,103,0,26,103,76,64,1
23,5,0,76,26,103,76,64,1
24,7,103,76,26,103,76,64,1
25,18,0,152,26,103,76,64,1
26,31,103,152,26,103,76,64,1
27,34,0,228,26,103,76,64,1
28,38,103,228,26,103,76,64,1
29,40,0,304,26,103,76,64,1
30,46,103,304,26,103,76,64,1
31,47,0,380,26,103,76,64,1
32,49,103,380,26,103,76,64,1
33,52,0,456,26,103,76,64,1
34,56,103,456,26,103,76,64,1
35,57,0,0,90,103,76,64,2
36,59,103,0,90,103,76,64,2
37,62,0,76,90,103,76,64,2
38,69,103,76,90,103,76,64,2
39,70,0,152,90,103,76,64,2
40,72,103,152,90,103,76,64,2
41,79,0,228,90,103,76,64,2
42,80,103,228,90,103,76,64,2
43,81,0,304,90,103,76,64,2
44,86,103,304,90,103,76,64,2
45,87,0,380,90,103,76,64,2
46,89,103,380,90,103,76,64,2
47,91,0,456,90,103,76,64,2
48,95,103,456,90,103,76,64,2
49,1,0,0,154,95,70,62,3
50,9,95,0,154,95,70,62,3
51,16,0,70,154,95,70,62,3
52,20,95,70,154,95,70,62,3
53,21,0,140,154,95,70,62,3
54,23,95,140,154,95,70,62,3
55,26,0,210,154,95,70,62,3
56,32,95,210,154,95,70,62,3
57,61,0,280,154,95,70,62,3
58,66,95,280,154,95,70,62,3
59,73,0,350,154,95,70,62,3
60,74,95,350,154,95,70,62,3
61,75,0,420,154,95,70,62,3
62,78,95,420,154,95,70,62,3
63,84,0,490,154,95,70,62,3
64,96,95,490,154,95,70,62,3
