,item,x,y,z,width,depth,height,layer
0,16,0,0,0,103,76,64,0
1,49,103,0,0,103,76,64,0
2,75,0,76,0,103,76,64,0
3,114,103,76,0,103,76,64,0
4,144,0,152,0,103,76,64,0
5,149,103,152,0,103,76,64,0
6,87,0,228,0,76,103,64,0
7,101,76,228,0,76,103,64,0
8,110,0,331,0,76,103,64,0
9,122,76,331,0,76,103,64,0
10,131,0,434,0,76,103,64,0
11,143,76,434,0,76,103,64,0
12,1,0,0,64,84,85,72,1
13,51,84,0,64,84,85,72,1
14,135,0,85,64,84,85,72,1
15,139,84,85,64,84,85,72,1
16,22,0,170,64,85,84,72,1
17,36,85,170,64,85,84,72,1
18,38,0,254,64,85,84,72,1
19,43,85,254,64,85,84,72,1
20,62,0,338,64,85,84,72,1
21,65,85,338,64,85,84,72,1
22,88,0,422,64,85,84,72,1
23,95,85,422,64,85,84,72,1
24,4,0,0,136,86,76,38,2
25,14,86,0,136,86,76,38,2
26,30,0,76,136,86,76,38,2
27,39,86,76,136,86,76,38,2
28,41,0,152,136,86,76,38,2
29,52,86,152,136,86,76,38,2
30,99,0,228,136,86,76,38,2
31,113,86,228,136,86,76,38,2
32,126,0,304,136,86,76,38,2
33,138,86,304,136,86,76,38,2
34,50,0,380,136,76,86,38,2
35,74,76,380,136,76,86,38,2
36,142,0,466,136,86,76,38,2
37,13,0,0,174,98,52,44,3
38,19,98,0,174,98,52,44,3
39,37,0,52,174,98,52,44,3
40,40,98,52,174,98,52,44,3
41,55,0,104,174,98,52,44,3
42,59,98,104,174,98,52,44,3
43,86,0,156,174,98,52,44,3
44,96,98,156,174,98,52,44,3
45,106,0,208,174,98,52,44,3
46,112,98,208,174,98,52,44,3
47,63,0,260,174,52,98,44,3
48,85,52,260,174,52,98,44,3
49,93,104,260,174,52,98,44,3
50,97,156,260,174,52,98,44,3
51,141,0,358,174,98,52,44,3
