,item,x,y,z,width,depth,height,layer
0,0,0,0,0,37,78,27,0
1,1,37,0,0,37,78,27,0
2,3,74,0,0,37,78,27,0
3,5,111,0,0,37,78,27,0
4,8,148,0,0,37,78,27,0
5,9,185,0,0,37,78,27,0
6,10,0,78,0,37,78,27,0
7,13,37,78,0,37,78,27,0
8,14,74,78,0,37,78,27,0
9,15,111,78,0,37,78,27,0
10,17,148,78,0,37,78,27,0
11,20,185,78,0,37,78,27,0
12,22,0,156,0,37,78,27,0
13,24,37,156,0,37,78,27,0
14,28,74,156,0,37,78,27,0
15,29,111,156,0,37,78,27,0
16,30,148,156,0,37,78,27,0
17,31,185,156,0,37,78,27,0
18,32,0,234,0,37,78,27,0
19,35,37,234,0,37,78,27,0
20,36,74,234,0,37,78,27,0
21,39,111,234,0,37,78,27,0
22,42,148,234,0,37,78,27,0
23,43,185,234,0,37,78,27,0
24,44,0,312,0,37,78,27,0
25,45,37,312,0,37,78,27,0
26,47,74,312,0,37,78,27,0
27,49,111,312,0,37,78,27,0
28,50,148,312,0,37,78,27,0
29,51,185,312,0,37,78,27,0
30,52,0,390,0,37,78,27,0
31,54,37,390,0,37,78,27,0
32,58,0,468,0,37,78,27,0
33,59,37,468,0,37,78,27,0
34,62,74,390,0,37,78,27,0
35,63,111,390,0,37,78,27,0
36,73,148,390,0,37,78,27,0
37,81,185,390,0,37,78,27,0
38,82,74,468,0,37,78,27,0
39,85,111,468,0,37,78,27,0
40,89,148,468,0,37,78,27,0
41,90,185,468,0,37,78,27,0
42,91,0,0,27,37,78,27,1
43,92,37,0,27,37,78,27,1
44,93,74,0,27,37,78,27,1
45,98,111,0,27,37,78,27,1
46,99,148,0,27,37,78,27,1
47,100,185,0,27,37,78,27,1
48,101,0,78,27,37,78,27,1
49,103,37,78,27,37,78,27,1
50,104,74,78,27,37,78,27,1
51,105,111,78,27,37,78,27,1
52,106,148,78,27,37,78,27,1
53,107,185,78,27,37,78,27,1
54,108,0,156,27,37,78,27,1
55,109,37,156,27,37,78,27,1
56,112,74,156,27,37,78,27,1
57,117,111,156,27,37,78,27,1
58,122,148,156,27,37,78,27,1
59,125,185,156,27,37,78,27,1
60,131,0,234,27,37,78,27,1
61,133,37,234,27,37,78,27,1
62,135,74,234,27,37,78,27,1
63,136,111,234,27,37,78,27,1
64,138,148,234,27,37,78,27,1
65,141,185,234,27,37,78,27,1
66,144,0,312,27,37,78,27,1
67,145,37,312,27,37,78,27,1
68,146,74,312,27,37,78,27,1
69,148,111,312,27,37,78,27,1
70,150,148,312,27,37,78,27,1
71,151,185,312,27,37,78,27,1
72,157,0,390,27,37,78,27,1
73,158,37,390,27,37,78,27,1
74,165,0,468,27,37,78,27,1
75,166,37,468,27,37,78,27,1
76,167,74,390,27,37,78,27,1
77,168,111,390,27,37,78,27,1
78,170,148,390,27,37,78,27,1
79,4,0,0,54,84,90,41,2
80,6,84,0,54,84,90,41,2
81,7,0,90,54,84,90,41,2
82,12,84,90,54,84,90,41,2
83,16,0,180,54,84,90,41,2
84,18,84,180,54,84,90,41,2
85,19,0,270,54,84,90,41,2
86,21,84,270,54,84,90,41,2
87,23,0,360,54,84,90,41,2
88,27,84,360,54,84,90,41,2
89,34,0,450,54,84,90,41,2
90,41,84,450,54,84,90,41,2
91,46,0,0,95,84,90,41,3
92,48,84,0,95,84,90,41,3
93,56,0,90,95,84,90,41,3
94,57,84,90,95,84,90,41,3
95,66,0,180,95,84,90,41,3
96,67,84,180,95,84,90,41,3
97,68,0,270,95,84,90,41,3
98,70,84,270,95,84,90,41,3
99,71,0,360,95,84,90,41,3
100,72,84,360,95,84,90,41,3
101,74,0,450,95,84,90,41,3
102,75,84,450,95,84,90,41,3
103,76,0,0,136,84,90,41,4
104,77,84,0,136,84,90,41,4
105,79,0,90,136,84,90,41,4
106,80,84,90,136,84,90,41,4
107,83,0,180,136,84,90,41,4
108,86,84,180,136,84,90,41,4
109,88,0,270,136,84,90,41,4
110,94,84,270,136,84,90,41,4
111,96,0,360,136,84,90,41,4
112,97,84,360,136,84,90,41,4
113,111,0,450,136,84,90,41,4
114,113,84,450,136,84,90,41,4
115,114,0,0,177,84,90,41,5
116,115,84,0,177,84,90,41,5
117,119,0,90,177,84,90,41,5
118,124,84,90,177,84,90,41,5
119,127,0,180,177,84,90,41,5
120,129,84,180,177,84,90,41,5
121,130,0,270,177,84,90,41,5
122,132,84,270,177,84,90,41,5
123,134,0,360,177,84,90,41,5
124,137,84,360,177,84,90,41,5
125,139,0,450,177,84,90,41,5
126,142,84,450,177,84,90,41,5
