,item,x,y,z,width,depth,height,layer
0,43,0,0,0,102,78,39,0
1,45,102,0,0,102,78,39,0
2,71,0,78,0,102,78,39,0
3,77,102,78,0,102,78,39,0
4,4,0,156,0,78,102,39,0
5,25,78,156,0,78,102,39,0
6,53,0,258,0,78,102,39,0
7,57,78,258,0,78,102,39,0
8,58,0,360,0,78,102,39,0
9,59,78,360,0,78,102,39,0
10,68,0,462,0,78,102,39,0
11,69,78,462,0,78,102,39,0
12,3,0,0,39,63,103,58,1
13,18,63,0,39,63,103,58,1
14,127,126,0,39,63,103,58,1
15,27,0,103,39,63,103,58,1
16,29,63,103,39,63,103,58,1
17,132,126,103,39,103,63,58,1
18,35,0,206,39,63,103,58,1
19,37,63,206,39,63,103,58,1
20,55,0,309,39,63,103,58,1
21,70,63,309,39,63,103,58,1
22,101,0,412,39,63,103,58,1
23,124,63,412,39,63,103,58,1
24,8,0,515,39,103,63,58,1
25,75,103,515,39,103,63,58,1
26,0,0,0,97,50,91,40,2
27,7,50,0,97,50,91,40,2
28,16,100,0,97,50,91,40,2
29,21,150,0,97,50,91,40,2
30,23,0,91,97,50,91,40,2
31,26,50,91,97,50,91,40,2
32,33,100,91,97,50,91,40,2
33,36,150,91,97,50,91,40,2
34,40,0,182,97,50,91,40,2
35,44,50,182,97,50,91,40,2
36,46,100,182,97,50,91,40,2
37,52,150,182,97,50,91,40,2
38,81,0,273,97,50,91,40,2
39,108,50,273,97,50,91,40,2
40,134,100,273,97,50,91,40,2
41,14,0,364,97,91,50,40,2
42,32,91,364,97,91,50,40,2
43,39,0,414,97,91,50,40,2
44,99,91,414,97,91,50,40,2
45,6,0,0,137,81,97,27,3
46,15,81,0,137,81,97,27,3
47,50,0,97,137,81,97,27,3
48,67,81,97,137,81,97,27,3
49,73,0,194,137,81,97,27,3
50,112,81,194,137,81,97,27,3
51,121,0,291,137,81,97,27,3
52,123,81,291,137,81,97,27,3
53,62,0,388,137,97,81,27,3
54,133,97,388,137,81,97,27,3
55,5,0,0,164,61,106,56,4
56,11,61,0,164,61,106,56,4
57,117,122,0,164,61,106,56,4
58,31,0,106,164,61,106,56,4
59,34,61,106,164,61,106,56,4
60,125,122,106,164,106,61,56,4
61,51,0,212,164,61,106,56,4
62,60,61,212,164,61,106,56,4
63,80,0,318,164,61,106,56,4
64,83,61,318,164,61,106,56,4
65,88,0,424,164,61,106,56,4
66,92,61,424,164,61,106,56,4
