,item,x,y,z,width,depth,height,layer
0,73,0,0,0,103,76,64,0
1,88,103,0,0,103,76,64,0
2,89,0,76,0,103,76,64,0
3,93,103,76,0,103,76,64,0
4,95,0,152,0,103,76,64,0
5,97,103,152,0,103,76,64,0
6,105,0,228,0,103,76,64,0
7,108,103,228,0,103,76,64,0
8,8,0,304,0,76,103,64,0
9,38,76,304,0,76,103,64,0
10,113,152,304,0,76,103,64,0
11,84,0,407,0,76,103,64,0
12,94,76,407,0,76,103,64,0
13,114,0,510,0,103,76,64,0
14,1,0,0,64,95,70,62,1
15,11,95,0,64,95,70,62,1
16,19,0,70,64,95,70,62,1
17,39,95,70,64,95,70,62,1
18,43,0,140,64,95,70,62,1
19,44,95,140,64,95,70,62,1
20,49,0,210,64,95,70,62,1
21,52,95,210,64,95,70,62,1
22,59,0,280,64,95,70,62,1
23,63,95,280,64,95,70,62,1
24,75,0,350,64,95,70,62,1
25,76,95,350,64,95,70,62,1
26,78,0,420,64,95,70,62,1
27,79,95,420,64,95,70,62,1
28,82,0,490,64,95,70,62,1
29,104,95,490,64,95,70,62,1
30,106,0,13,126,111,49,26,2
31,112,111,13,126,111,49,26,2
32,26,25,0,152,86,76,38,2
33,34,111,0,152,86,76,38,2
34,4,0,76,126,103,76,64,2
35,6,103,76,126,103,76,64,2
36,9,0,152,126,103,76,64,2
37,18,103,152,126,103,76,64,2
38,36,0,228,126,103,76,64,2
39,42,103,228,126,103,76,64,2
40,48,0,304,126,103,76,64,2
41,51,103,304,126,103,76,64,2
42,55,0,380,126,103,76,64,2
43,61,103,380,126,103,76,64,2
44,65,0,456,126,103,76,64,2
45,66,103,456,126,103,76,64,2
46,14,0,0,190,111,49,26,3
47,17,111,0,190,111,49,26,3
48,22,0,49,190,111,49,26,3
49,25,111,49,190,111,49,26,3
50,27,0,98,190,111,49,26,3
51,40,111,98,190,111,49,26,3
52,46,0,147,190,111,49,26,3
53,47,111,147,190,111,49,26,3
54,60,0,196,190,111,49,26,3
55,64,111,196,190,111,49,26,3
56,87,0,245,190,111,49,26,3
57,92,111,245,190,111,49,26,3
58,16,0,294,190,49,111,26,3
59,20,49,294,190,49,111,26,3
60,32,98,294,190,49,111,26,3
61,72,147,294,190,49,111,26,3
