,item,x,y,z,width,depth,height,layer
0,2,0,0,0,54,91,22,0
1,3,54,0,0,54,91,22,0
2,7,108,0,0,54,91,22,0
3,13,162,0,0,54,91,22,0
4,25,0,91,0,54,91,22,0
5,34,54,91,0,54,91,22,0
6,40,108,91,0,54,91,22,0
7,41,162,91,0,54,91,22,0
8,44,0,182,0,54,91,22,0
9,47,54,182,0,54,91,22,0
10,52,108,182,0,54,91,22,0
11,54,162,182,0,54,91,22,0
12,56,0,273,0,54,91,22,0
13,62,54,273,0,54,91,22,0
14,74,108,273,0,54,91,22,0
15,82,162,273,0,54,91,22,0
16,83,0,364,0,54,91,22,0
17,96,54,364,0,54,91,22,0
18,48,0,455,0,91,54,22,0
19,51,91,455,0,91,54,22,0
20,98,108,364,0,54,91,22,0
21,70,0,509,0,91,54,22,0
22,103,91,509,0,91,54,22,0
23,4,0,0,22,58,109,54,1
24,11,58,0,22,58,109,54,1
25,35,116,0,22,58,109,54,1
26,59,174,0,22,58,109,54,1
27,78,0,109,22,58,109,54,1
28,84,58,109,22,58,109,54,1
29,86,116,109,22,58,109,54,1
30,88,174,109,22,58,109,54,1
31,90,0,218,22,58,109,54,1
32,93,58,218,22,58,109,54,1
33,95,116,218,22,58,109,54,1
34,106,174,218,22,58,109,54,1
35,8,0,327,22,109,58,54,1
36,37,109,327,22,109,58,54,1
37,55,0,385,22,109,58,54,1
38,75,109,385,22,109,58,54,1
39,105,0,443,22,109,58,54,1
40,108,0,0,76,80,100,72,2
41,5,0,100,76,80,100,72,2
42,6,80,100,76,80,100,72,2
43,21,80,0,76,54,94,36,2
44,31,134,0,76,54,94,36,2
45,39,80,0,112,54,94,36,2
46,49,134,0,112,54,94,36,2
47,10,0,200,76,80,100,72,2
48,15,80,200,76,80,100,72,2
49,17,0,300,76,80,100,72,2
50,18,80,300,76,80,100,72,2
51,19,0,400,76,80,100,72,2
52,20,80,400,76,80,100,72,2
53,1,0,500,76,100,80,72,2
54,58,100,500,76,100,80,72,2
55,32,0,0,148,80,100,72,3
56,38,80,0,148,80,100,72,3
57,43,0,100,148,80,100,72,3
58,65,80,100,148,80,100,72,3
59,67,0,200,148,80,100,72,3
60,68,80,200,148,80,100,72,3
61,85,0,300,148,80,100,72,3
62,92,80,300,148,80,100,72,3
63,101,0,400,148,80,100,72,3
64,102,80,400,148,80,100,72,3
65,94,0,500,148,100,80,72,3
66,107,100,500,148,100,80,72,3
