,item,x,y,z,width,depth,height,layer
0,6,0,0,0,60,40,32,0
1,7,60,0,0,60,40,32,0
2,1,120,0,0,40,60,32,0
3,4,160,0,0,40,60,32,0
4,13,0,40,0,60,40,32,0
5,21,60,40,0,60,40,32,0
6,16,120,60,0,40,60,32,0
7,18,160,60,0,40,60,32,0
8,22,0,80,0,60,40,32,0
9,35,60,80,0,60,40,32,0
10,40,0,120,0,60,40,32,0
11,41,60,120,0,60,40,32,0
12,20,120,120,0,40,60,32,0
13,25,160,120,0,40,60,32,0
14,61,0,160,0,60,40,32,0
15,71,60,160,0,60,40,32,0
16,38,120,180,0,40,60,32,0
17,47,160,180,0,40,60,32,0
18,73,0,200,0,60,40,32,0
19,75,60,200,0,60,40,32,0
20,80,0,240,0,60,40,32,0
21,83,60,240,0,60,40,32,0
22,51,120,240,0,40,60,32,0
23,52,160,240,0,40,60,32,0
24,84,0,280,0,60,40,32,0
25,88,60,280,0,60,40,32,0
26,53,120,300,0,40,60,32,0
27,54,160,300,0,40,60,32,0
28,89,0,320,0,60,40,32,0
29,91,60,320,0,60,40,32,0
30,99,0,360,0,60,40,32,0
31,106,60,360,0,60,40,32,0
32,102,120,360,0,40,60,32,0
33,134,160,360,0,40,60,32,0
34,109,0,400,0,60,40,32,0
35,114,60,400,0,60,40,32,0
36,140,120,420,0,40,60,32,0
37,155,160,420,0,40,60,32,0
38,131,0,440,0,60,40,32,0
39,132,60,440,0,60,40,32,0
40,158,0,480,0,40,60,32,0
41,168,40,480,0,40,60,32,0
42,135,0,540,0,60,40,32,0
43,136,60,540,0,60,40,32,0
44,143,80,480,0,60,40,32,0
45,145,140,480,0,60,40,32,0
46,119,0,0,32,98,75,55,1
47,122,98,0,32,98,75,55,1
48,129,0,75,32,98,75,55,1
49,133,98,75,32,98,75,55,1
50,138,0,150,32,98,75,55,1
51,139,98,150,32,98,75,55,1
52,149,0,225,32,98,75,55,1
53,150,98,225,32,98,75,55,1
54,164,0,300,32,98,75,55,1
55,166,98,300,32,98,75,55,1
56,5,0,375,32,75,98,55,1
57,10,75,375,32,75,98,55,1
58,157,150,375,32,75,98,55,1
59,49,0,473,32,75,98,55,1
60,56,75,473,32,75,98,55,1
61,9,0,0,87,98,75,55,2
62,15,98,0,87,98,75,55,2
63,23,0,75,87,98,75,55,2
64,24,98,75,87,98,75,55,2
65,29,0,150,87,98,75,55,2
66,36,98,150,87,98,75,55,2
67,37,0,225,87,98,75,55,2
68,46,98,225,87,98,75,55,2
69,48,0,300,87,98,75,55,2
70,65,98,300,87,98,75,55,2
71,66,0,375,87,98,75,55,2
72,67,98,375,87,98,75,55,2
73,69,0,450,87,98,75,55,2
74,77,98,450,87,98,75,55,2
75,82,0,0,142,98,75,55,3
76,85,98,0,142,98,75,55,3
77,86,0,75,142,98,75,55,3
78,87,98,75,142,98,75,55,3
79,90,0,150,142,98,75,55,3
80,94,98,150,142,98,75,55,3
81,97,0,225,142,98,75,55,3
82,100,98,225,142,98,75,55,3
83,101,0,300,142,98,75,55,3
84,108,98,300,142,98,75,55,3
85,110,0,375,142,98,75,55,3
86,111,98,375,142,98,75,55,3
87,116,0,450,142,98,75,55,3
88,117,98,450,142,98,75,55,3
