,item,x,y,z,width,depth,height,layer
0,23,0,0,0,113,92,33,0
1,26,113,0,0,113,92,33,0
2,31,0,92,0,113,92,33,0
3,98,113,92,0,113,92,33,0
4,104,0,184,0,113,92,33,0
5,129,113,184,0,113,92,33,0
6,130,0,276,0,113,92,33,0
7,142,113,276,0,113,92,33,0
8,4,0,368,0,92,64,33,0
9,8,92,368,0,92,64,33,0
10,20,0,432,0,92,64,33,0
11,28,92,432,0,92,64,33,0
12,44,0,496,0,92,64,33,0
13,53,92,496,0,92,64,33,0
14,21,0,0,33,116,49,47,1
15,29,116,0,33,116,49,47,1
16,33,0,49,33,116,49,47,1
17,45,116,49,33,116,49,47,1
18,81,0,98,33,116,49,47,1
19,114,116,98,33,116,49,47,1
20,117,0,147,33,116,49,47,1
21,128,116,147,33,116,49,47,1
22,3,0,196,33,98,88,47,1
23,5,98,196,33,98,88,47,1
24,35,0,284,33,98,88,47,1
25,41,98,284,33,98,88,47,1
26,82,0,372,33,98,88,47,1
27,106,98,372,33,98,88,47,1
28,101,0,460,33,49,116,47,1
29,111,49,460,33,49,116,47,1
30,68,98,460,33,88,98,47,1
31,1,0,0,80,98,96,56,2
32,14,98,0,80,98,96,56,2
33,27,0,96,80,98,96,56,2
34,30,98,96,80,98,96,56,2
35,34,0,192,80,98,96,56,2
36,48,98,192,80,98,96,56,2
37,59,0,288,80,98,96,56,2
38,77,98,288,80,98,96,56,2
39,90,0,384,80,98,96,56,2
40,102,98,384,80,98,96,56,2
41,109,0,480,80,98,96,56,2
42,132,98,480,80,98,96,56,2
43,6,0,0,136,79,68,44,3
44,9,79,0,136,79,68,44,3
45,103,158,0,136,68,79,44,3
46,10,0,68,136,79,68,44,3
47,11,79,68,136,79,68,44,3
48,24,0,136,136,79,68,44,3
49,43,79,136,136,79,68,44,3
50,63,0,204,136,79,68,44,3
51,65,79,204,136,79,68,44,3
52,66,0,272,136,79,68,44,3
53,75,79,272,136,79,68,44,3
54,76,0,340,136,79,68,44,3
55,84,79,340,136,79,68,44,3
56,89,0,408,136,79,68,44,3
57,96,79,408,136,79,68,44,3
58,105,0,476,136,79,68,44,3
59,141,79,476,136,79,68,44,3
60,91,0,0,180,119,59,39,4
61,72,0,59,180,119,59,39,4
62,118,0,118,180,119,59,39,4
63,126,0,177,180,119,59,39,4
64,52,0,236,180,119,59,39,4
65,73,0,295,180,119,59,39,4
66,61,0,354,180,119,59,39,4
67,51,0,413,180,119,59,39,4
68,70,0,472,180,119,59,39,4
69,108,0,531,180,75,45,35,4
70,137,119,0,180,92,64,33,4
71,54,119,64,180,64,92,33,4
72,133,75,531,180,41,33,31,4
73,42,116,531,180,33,41,31,4
74,32,183,64,180,33,57,29,4
75,134,183,121,180,44,83,23,4
76,135,149,204,180,83,44,23,4
