,item,x,y,z,width,depth,height,layer
0,8,0,0,0,90,70,63,0
1,35,90,0,0,90,70,63,0
2,36,0,70,0,90,70,63,0
3,43,90,70,0,90,70,63,0
4,48,0,140,0,90,70,63,0
5,49,90,140,0,90,70,63,0
6,57,0,210,0,90,70,63,0
7,68,90,210,0,90,70,63,0
8,79,0,280,0,90,70,63,0
9,95,90,280,0,90,70,63,0
10,98,0,350,0,90,70,63,0
11,99,90,350,0,90,70,63,0
12,106,0,420,0,90,70,63,0
13,114,90,420,0,90,70,63,0
14,16,0,490,0,70,90,63,0
15,26,70,490,0,70,90,63,0
16,108,140,490,0,70,90,63,0
17,4,0,0,63,50,69,45,1
18,13,50,0,63,50,69,45,1
19,17,100,0,63,50,69,45,1
20,27,150,0,63,50,69,45,1
21,31,0,69,63,50,69,45,1
22,44,50,69,63,50,69,45,1
23,46,100,69,63,50,69,45,1
24,54,150,69,63,50,69,45,1
25,67,0,138,63,50,69,45,1
26,78,50,138,63,50,69,45,1
27,83,100,138,63,50,69,45,1
28,90,150,138,63,50,69,45,1
29,96,0,207,63,50,69,45,1
30,116,50,207,63,50,69,45,1
31,92,100,207,63,69,50,45,1
32,117,169,207,63,50,69,45,1
33,6,0,276,63,69,50,45,1
34,9,69,276,63,69,50,45,1
35,32,0,326,63,69,50,45,1
36,33,69,326,63,69,50,45,1
37,38,0,376,63,69,50,45,1
38,53,69,376,63,69,50,45,1
39,56,0,426,63,69,50,45,1
40,59,69,426,63,69,50,45,1
41,61,0,476,63,69,50,45,1
42,62,69,476,63,69,50,45,1
43,72,0,526,63,69,50,45,1
44,76,69,526,63,69,50,45,1
45,0,0,0,108,94,85,39,2
46,29,94,0,108,94,85,39,2
47,55,0,85,108,94,85,39,2
48,60,94,85,108,94,85,39,2
49,75,0,170,108,94,85,39,2
50,77,94,170,108,94,85,39,2
51,81,0,255,108,94,85,39,2
52,86,94,255,108,94,85,39,2
53,1,0,340,108,85,94,39,2
54,2,85,340,108,85,94,39,2
55,3,0,434,108,85,94,39,2
56,7,85,434,108,85,94,39,2
57,14,0,0,147,85,94,39,3
58,21,85,0,147,85,94,39,3
59,25,0,94,147,85,94,39,3
60,28,85,94,147,85,94,39,3
61,34,0,188,147,85,94,39,3
62,50,85,188,147,85,94,39,3
63,52,0,282,147,85,94,39,3
64,65,85,282,147,85,94,39,3
65,87,0,376,147,85,94,39,3
66,88,85,376,147,85,94,39,3
67,94,0,470,147,85,94,39,3
68,104,85,470,147,85,94,39,3
69,11,0,0,186,78,84,28,4
70,12,78,0,186,78,84,28,4
71,18,0,84,186,78,84,28,4
72,22,78,84,186,78,84,28,4
73,24,0,168,186,78,84,28,4
74,42,78,168,186,78,84,28,4
75,58,0,252,186,78,84,28,4
76,63,78,252,186,78,84,28,4
77,69,0,336,186,78,84,28,4
78,73,78,336,186,78,84,28,4
79,103,0,420,186,78,84,28,4
80,107,78,420,186,78,84,28,4
81,23,0,504,186,84,78,28,4
82,39,84,504,186,84,78,28,4
