,item,x,y,z,width,depth,height,layer
0,118,0,0,0,76,103,64,0
1,0,0,103,0,103,76,64,0
2,1,103,103,0,103,76,64,0
3,5,0,179,0,103,76,64,0
4,11,103,179,0,103,76,64,0
5,26,0,255,0,103,76,64,0
6,30,103,255,0,103,76,64,0
7,33,0,331,0,103,76,64,0
8,39,103,331,0,103,76,64,0
9,57,0,407,0,103,76,64,0
10,69,103,407,0,103,76,64,0
11,89,0,483,0,103,76,64,0
12,112,103,483,0,103,76,64,0
13,23,76,0,0,76,103,64,0
14,67,152,0,0,76,103,64,0
15,3,0,0,64,95,70,62,1
16,7,95,0,64,95,70,62,1
17,24,0,70,64,95,70,62,1
18,28,95,70,64,95,70,62,1
19,29,0,140,64,95,70,62,1
20,34,95,140,64,95,70,62,1
21,40,0,210,64,95,70,62,1
22,49,95,210,64,95,70,62,1
23,53,0,280,64,95,70,62,1
24,56,95,280,64,95,70,62,1
25,71,0,350,64,95,70,62,1
26,75,95,350,64,95,70,62,1
27,93,0,420,64,95,70,62,1
28,97,95,420,64,95,70,62,1
29,85,0,490,64,70,95,62,1
30,12,70,490,64,70,95,62,1
31,60,140,490,64,70,95,62,1
32,9,0,0,126,85,84,72,2
33,13,85,0,126,85,84,72,2
34,19,0,84,126,85,84,72,2
35,27,85,84,126,85,84,72,2
36,38,0,168,126,85,84,72,2
37,43,85,168,126,85,84,72,2
38,46,0,252,126,85,84,72,2
39,59,85,252,126,85,84,72,2
40,64,0,336,126,85,84,72,2
41,72,85,336,126,85,84,72,2
42,76,0,420,126,85,84,72,2
43,77,85,420,126,85,84,72,2
