,item,x,y,z,width,depth,height,layer
0,12,0,0,0,113,92,33,0
1,19,113,0,0,113,92,33,0
2,22,0,92,0,113,92,33,0
3,23,113,92,0,113,92,33,0
4,40,0,184,0,113,92,33,0
5,41,113,184,0,113,92,33,0
6,48,0,276,0,113,92,33,0
7,50,113,276,0,113,92,33,0
8,51,0,368,0,113,92,33,0
9,58,113,368,0,113,92,33,0
10,71,0,460,0,113,92,33,0
11,86,113,460,0,113,92,33,0
12,120,0,0,33,113,92,33,1
13,132,113,0,33,113,92,33,1
14,148,0,92,33,113,92,33,1
15,155,113,92,33,113,92,33,1
16,157,0,184,33,113,92,33,1
17,170,113,184,33,113,92,33,1
18,10,0,276,33,64,92,33,1
19,20,64,276,33,64,92,33,1
20,176,128,276,33,92,113,33,1
21,29,0,368,33,64,92,33,1
22,36,64,368,33,64,92,33,1
23,141,128,389,33,92,64,33,1
24,164,128,453,33,64,92,33,1
25,68,0,460,33,64,92,33,1
26,89,64,460,33,64,92,33,1
27,1,0,0,66,92,113,33,2
28,14,92,0,66,92,113,33,2
29,18,0,113,66,92,113,33,2
30,44,92,113,66,92,113,33,2
31,49,0,226,66,92,113,33,2
32,53,92,226,66,92,113,33,2
33,59,0,339,66,92,113,33,2
34,61,92,339,66,92,113,33,2
35,62,0,452,66,92,113,33,2
36,65,92,452,66,92,113,33,2
37,67,0,0,99,92,113,33,3
38,69,92,0,99,92,113,33,3
39,81,0,113,99,92,113,33,3
40,99,92,113,99,92,113,33,3
41,118,0,226,99,92,113,33,3
42,124,92,226,99,92,113,33,3
43,134,0,339,99,92,113,33,3
44,138,92,339,99,92,113,33,3
45,166,0,452,99,92,113,33,3
46,175,92,452,99,92,113,33,3
47,180,0,0,132,45,75,35,4
48,11,0,75,132,45,75,35,4
49,27,45,75,132,45,75,35,4
50,3,45,0,132,75,45,35,4
51,6,120,0,132,75,45,35,4
52,35,0,150,132,45,75,35,4
53,42,45,150,132,45,75,35,4
54,47,0,225,132,45,75,35,4
55,54,45,225,132,45,75,35,4
56,56,0,300,132,45,75,35,4
57,63,45,300,132,45,75,35,4
58,70,0,375,132,45,75,35,4
59,83,45,375,132,45,75,35,4
60,25,0,450,132,75,45,35,4
61,26,75,450,132,75,45,35,4
62,28,0,495,132,75,45,35,4
63,46,75,495,132,75,45,35,4
64,60,0,540,132,75,45,35,4
65,93,75,540,132,75,45,35,4
66,92,90,45,132,45,75,35,4
67,94,135,45,132,45,75,35,4
68,96,90,120,132,45,75,35,4
69,103,135,120,132,45,75,35,4
70,110,90,195,132,45,75,35,4
71,113,135,195,132,45,75,35,4
72,121,90,270,132,45,75,35,4
73,123,135,270,132,45,75,35,4
74,127,90,345,132,45,75,35,4
75,144,135,345,132,45,75,35,4
76,160,150,420,132,75,45,35,4
77,32,0,0,167,119,59,39,5
78,153,0,59,167,119,59,39,5
79,182,0,118,167,119,59,39,5
80,115,0,177,167,119,59,39,5
81,39,0,236,167,119,59,39,5
82,2,0,295,167,119,59,39,5
83,90,0,354,167,119,59,39,5
84,109,0,413,167,119,59,39,5
85,37,0,472,167,119,59,39,5
86,181,119,0,167,113,92,33,5
87,158,119,92,167,37,99,30,5
88,183,156,92,167,33,57,29,5
89,171,0,531,167,57,33,29,5
90,152,57,531,167,37,52,28,5
