,item,x,y,z,width,depth,height,layer
0,28,0,0,0,108,76,30,0
1,31,108,0,0,108,76,30,0
2,34,0,76,0,108,76,30,0
3,37,108,76,0,108,76,30,0
4,49,0,152,0,108,76,30,0
5,58,108,152,0,108,76,30,0
6,69,0,228,0,108,76,30,0
7,82,108,228,0,108,76,30,0
8,94,0,304,0,108,76,30,0
9,96,108,304,0,108,76,30,0
10,105,0,380,0,108,76,30,0
11,109,108,380,0,108,76,30,0
12,112,0,456,0,108,76,30,0
13,114,108,456,0,108,76,30,0
14,9,0,0,30,70,111,48,1
15,45,70,0,30,70,111,48,1
16,16,0,111,30,111,70,48,1
17,22,111,111,30,111,70,48,1
18,36,0,181,30,111,70,48,1
19,77,111,181,30,111,70,48,1
20,78,0,251,30,111,70,48,1
21,79,111,251,30,111,70,48,1
22,92,0,321,30,111,70,48,1
23,93,111,321,30,111,70,48,1
24,101,0,391,30,111,70,48,1
25,102,111,391,30,111,70,48,1
26,118,0,461,30,111,70,48,1
27,127,111,461,30,111,70,48,1
28,6,0,0,78,94,81,44,2
29,38,94,0,78,94,81,44,2
30,44,0,81,78,94,81,44,2
31,61,94,81,78,94,81,44,2
32,62,0,162,78,94,81,44,2
33,66,94,162,78,94,81,44,2
34,100,0,243,78,94,81,44,2
35,108,94,243,78,94,81,44,2
36,110,0,324,78,94,81,44,2
37,111,94,324,78,94,81,44,2
38,119,0,405,78,94,81,44,2
39,126,94,405,78,94,81,44,2
40,12,0,486,78,81,94,44,2
41,21,0,0,122,97,67,62,3
42,29,97,0,122,97,67,62,3
43,40,0,67,122,97,67,62,3
44,57,97,67,122,97,67,62,3
45,76,0,134,122,97,67,62,3
46,98,97,134,122,97,67,62,3
47,115,0,201,122,97,67,62,3
48,116,97,201,122,97,67,62,3
49,8,0,268,122,95,66,31,3
50,33,95,268,122,95,66,31,3
51,53,0,268,153,95,66,31,3
52,55,95,268,153,95,66,31,3
53,59,0,334,122,95,66,31,3
54,64,95,334,122,95,66,31,3
55,90,0,334,153,95,66,31,3
56,103,95,334,153,95,66,31,3
57,106,0,400,122,95,66,31,3
58,117,95,400,122,95,66,31,3
59,120,0,400,153,95,66,31,3
60,121,95,400,153,95,66,31,3
61,56,0,0,184,76,108,30,4
62,73,76,0,184,76,108,30,4
63,5,0,108,184,84,85,30,4
64,123,0,193,184,85,84,30,4
65,47,0,277,184,85,84,30,4
66,84,85,277,184,85,84,30,4
67,2,0,361,184,108,76,30,4
68,3,108,361,184,108,76,30,4
69,14,0,437,184,108,76,30,4
70,17,108,437,184,108,76,30,4
