,item,x,y,z,width,depth,height,layer
0,1,0,0,0,106,80,59,0
1,10,106,0,0,106,80,59,0
2,12,0,80,0,106,80,59,0
3,13,106,80,0,106,80,59,0
4,18,0,160,0,106,80,59,0
5,19,106,160,0,106,80,59,0
6,22,0,240,0,106,80,59,0
7,23,106,240,0,106,80,59,0
8,26,0,320,0,106,80,59,0
9,42,106,320,0,106,80,59,0
10,44,0,400,0,106,80,59,0
11,46,106,400,0,106,80,59,0
12,47,0,480,0,106,80,59,0
13,49,106,480,0,106,80,59,0
14,2,0,0,59,109,76,42,1
15,5,109,0,59,109,76,42,1
16,9,0,76,59,109,76,42,1
17,24,109,76,59,109,76,42,1
18,27,0,152,59,109,76,42,1
19,34,109,152,59,109,76,42,1
20,36,0,228,59,109,76,42,1
21,39,109,228,59,109,76,42,1
22,40,0,304,59,109,76,42,1
23,43,109,304,59,109,76,42,1
24,48,0,380,59,109,76,42,1
25,61,109,380,59,109,76,42,1
26,63,0,456,59,109,76,42,1
27,67,109,456,59,109,76,42,1
28,50,0,0,101,106,80,59,2
29,54,106,0,101,106,80,59,2
30,56,0,80,101,106,80,59,2
31,62,106,80,101,106,80,59,2
32,69,0,160,101,106,80,59,2
33,79,106,160,101,106,80,59,2
34,86,0,240,101,106,80,59,2
35,90,106,240,101,106,80,59,2
36,8,0,320,101,80,106,59,2
37,20,80,320,101,80,106,59,2
38,30,0,426,101,80,106,59,2
39,53,80,426,101,80,106,59,2
40,72,0,0,160,109,76,42,3
41,77,109,0,160,109,76,42,3
42,78,0,76,160,109,76,42,3
43,81,109,76,160,109,76,42,3
44,84,0,152,160,109,76,42,3
45,88,109,152,160,109,76,42,3
46,4,0,228,160,76,109,42,3
47,6,76,228,160,76,109,42,3
48,87,152,228,160,76,109,42,3
49,41,0,337,160,76,109,42,3
50,65,76,337,160,76,109,42,3
51,94,0,446,160,109,76,42,3
