,item,x,y,z,width,depth,height,layer
0,2,0,0,0,100,80,72,0
1,4,100,0,0,100,80,72,0
2,17,0,80,0,100,80,72,0
3,25,100,80,0,100,80,72,0
4,33,0,160,0,100,80,72,0
5,36,100,160,0,100,80,72,0
6,40,0,240,0,100,80,72,0
7,49,100,240,0,100,80,72,0
8,54,0,320,0,100,80,72,0
9,55,100,320,0,100,80,72,0
10,58,0,400,0,100,80,72,0
11,68,100,400,0,100,80,72,0
12,71,0,480,0,100,80,72,0
13,73,100,480,0,100,80,72,0
14,74,0,0,72,100,80,72,1
15,79,100,0,72,100,80,72,1
16,94,0,80,72,100,80,72,1
17,99,100,80,72,100,80,72,1
18,100,0,160,72,100,80,72,1
19,102,100,160,72,100,80,72,1
20,104,0,240,72,100,80,72,1
21,105,100,240,72,100,80,72,1
22,108,0,320,72,100,80,72,1
23,111,100,320,72,100,80,72,1
24,112,0,400,72,100,80,72,1
25,114,100,400,72,100,80,72,1
26,72,0,480,72,80,100,72,1
27,117,80,480,72,80,100,72,1
28,3,0,0,144,94,54,36,2
29,9,94,0,144,94,54,36,2
30,65,188,0,144,40,83,36,2
31,12,0,54,144,94,54,36,2
32,16,94,54,144,94,54,36,2
33,20,0,108,144,94,54,36,2
34,21,94,108,144,94,54,36,2
35,35,0,162,144,94,54,36,2
36,38,94,162,144,94,54,36,2
37,42,0,216,144,94,54,36,2
38,44,94,216,144,94,54,36,2
39,59,0,270,144,94,54,36,2
40,62,94,270,144,94,54,36,2
41,67,0,324,144,94,54,36,2
42,78,94,324,144,94,54,36,2
43,82,0,378,144,94,54,36,2
44,84,94,378,144,94,54,36,2
45,87,0,432,144,94,54,36,2
46,88,94,432,144,94,54,36,2
47,7,0,486,144,54,94,36,2
48,39,54,486,144,54,94,36,2
49,70,108,486,144,54,94,36,2
50,0,0,0,180,88,54,39,3
51,10,88,0,180,88,54,39,3
52,96,176,0,180,54,88,39,3
53,19,0,54,180,88,54,39,3
54,27,88,54,180,88,54,39,3
55,30,0,108,180,88,54,39,3
56,32,88,108,180,88,54,39,3
57,34,0,162,180,88,54,39,3
58,47,88,162,180,88,54,39,3
59,51,0,216,180,88,54,39,3
60,57,88,216,180,88,54,39,3
61,60,0,270,180,88,54,39,3
62,61,88,270,180,88,54,39,3
63,63,0,324,180,88,54,39,3
64,64,88,324,180,88,54,39,3
65,81,0,378,180,88,54,39,3
66,86,88,378,180,88,54,39,3
67,97,0,432,180,88,54,39,3
68,106,88,432,180,88,54,39,3
69,13,0,486,180,54,88,39,3
70,48,54,486,180,54,88,39,3
71,50,108,486,180,54,88,39,3
72,95,162,486,180,54,88,39,3
