Case 1
0.00 0.00 0.00
0.00 0.00 30.00
0.00 76.00 0.00
0.00 76.00 30.00
0.00 152.00 0.00
0.00 152.00 30.00
108.00 0.00 0.00
108.00 0.00 30.00
108.00 76.00 0.00
108.00 76.00 30.00
108.00 152.00 0.00
108.00 152.00 30.00
216.00 0.00 0.00
216.00 0.00 30.00
216.00 76.00 0.00
216.00 76.00 30.00
216.00 152.00 0.00
216.00 152.00 30.00
324.00 0.00 0.00
324.00 0.00 30.00
324.00 76.00 0.00
324.00 76.00 30.00
324.00 152.00 0.00
324.00 152.00 30.00
432.00 0.00 0.00
432.00 0.00 30.00
432.00 76.00 0.00
432.00 76.00 30.00
432.00 152.00 0.00
432.00 152.00 30.00
540.00 0.00 0.00
540.00 0.00 25.00
540.00 0.00 50.00
540.00 0.00 75.00
540.00 0.00 100.00
540.00 0.00 125.00
540.00 0.00 150.00
540.00 0.00 175.00
540.00 110.00 0.00
540.00 110.00 25.00
540.00 110.00 50.00
540.00 110.00 75.00
540.00 110.00 100.00
540.00 110.00 125.00
540.00 110.00 150.00
540.00 110.00 175.00
0.00 0.00 60.00
0.00 0.00 115.00
0.00 92.00 60.00
0.00 92.00 115.00
81.00 0.00 60.00
81.00 0.00 115.00
81.00 92.00 60.00
81.00 92.00 115.00
162.00 0.00 60.00
162.00 0.00 115.00
162.00 92.00 60.00
162.00 92.00 115.00
243.00 0.00 60.00
243.00 0.00 115.00
243.00 92.00 60.00
243.00 92.00 115.00
324.00 0.00 60.00
324.00 0.00 115.00
324.00 92.00 60.00
324.00 92.00 115.00
405.00 0.00 60.00
405.00 0.00 115.00
405.00 92.00 60.00
405.00 92.00 115.00
486.00 0.00 60.00
486.00 43.00 60.00
486.00 86.00 60.00
486.00 129.00 60.00
511.00 0.00 60.00
511.00 43.00 60.00
511.00 86.00 60.00
511.00 129.00 60.00
0.00 184.00 60.00
0.00 184.00 85.00
110.00 184.00 60.00
110.00 184.00 85.00
220.00 184.00 60.00
