Case 1
0.00 0.00 0.00
0.00 55.00 0.00
0.00 110.00 0.00
0.00 165.00 0.00
81.00 0.00 0.00
81.00 55.00 0.00
81.00 110.00 0.00
81.00 165.00 0.00
162.00 0.00 0.00
162.00 55.00 0.00
162.00 110.00 0.00
162.00 165.00 0.00
243.00 0.00 0.00
243.00 55.00 0.00
243.00 110.00 0.00
243.00 165.00 0.00
324.00 0.00 0.00
324.00 55.00 0.00
324.00 110.00 0.00
324.00 165.00 0.00
405.00 0.00 0.00
405.00 55.00 0.00
405.00 110.00 0.00
405.00 165.00 0.00
486.00 0.00 0.00
486.00 55.00 0.00
486.00 110.00 0.00
486.00 165.00 0.00
0.00 0.00 92.00
0.00 110.00 92.00
43.00 0.00 92.00
43.00 110.00 92.00
86.00 0.00 92.00
86.00 110.00 92.00
129.00 0.00 92.00
129.00 110.00 92.00
172.00 0.00 92.00
172.00 110.00 92.00
215.00 0.00 92.00
215.00 110.00 92.00
258.00 0.00 92.00
258.00 110.00 92.00
301.00 0.00 92.00
301.00 110.00 92.00
344.00 0.00 92.00
344.00 110.00 92.00
387.00 0.00 92.00
387.00 110.00 92.00
430.00 0.00 92.00
430.00 110.00 92.00
473.00 0.00 92.00
473.00 110.00 92.00
516.00 0.00 92.00
516.00 110.00 92.00
0.00 0.00 117.00
0.00 0.00 147.00
0.00 108.00 117.00
0.00 108.00 147.00
76.00 0.00 117.00
76.00 0.00 147.00
76.00 108.00 117.00
76.00 108.00 147.00
152.00 0.00 117.00
152.00 0.00 147.00
152.00 108.00 117.00
152.00 108.00 147.00
228.00 0.00 117.00
228.00 0.00 147.00
228.00 108.00 117.00
228.00 108.00 147.00
304.00 0.00 117.00
304.00 0.00 147.00
304.00 108.00 117.00
304.00 108.00 147.00
380.00 0.00 117.00
380.00 0.00 147.00
380.00 108.00 117.00
380.00 108.00 147.00
456.00 0.00 117.00
456.00 0.00 147.00
456.00 108.00 117.00
456.00 108.00 147.00
0.00 0.00 177.00
0.00 108.00 177.00
76.00 0.00 177.00
76.00 108.00 177.00
152.00 0.00 177.00
152.00 108.00 177.00
228.00 0.00 177.00
228.00 108.00 177.00
304.00 0.00 177.00
304.00 108.00 177.00
380.00 0.00 177.00
380.00 108.00 177.00
456.00 0.00 177.00
used ratio:86.602%

Case 2
0.00 0.00 0.00
